Overall graph size pval = 0.0
Gene	Downstream crowded pval	Downstream suggests activation pval	Downstream suggests inhibition pval
QKI	0.0	0.0	1.0
IGKV1D-12	0.0	0.0	1.0
IGLV1-51	0.0	0.0	1.0
CXCL12	0.0	0.0	1.0
IGLV2-23	0.0	0.0	1.0
CDK2	0.0	1.0	0.0
HLA-DRA	0.0	0.0	1.0
FGFR1OP	0.0	0.0	1.0
ITGB1	0.0	1.0	0.0
ALK	0.0	0.0	1.0
FLT4	0.0	0.0	1.0
ITGB3	0.0	0.0	1.0
IGHV1-2	0.0	0.0	1.0
IGHV4-34	0.0	0.0	1.0
ARRB1	0.0	0.0	1.0
TREM2	0.0	0.0	1.0
IGHV4-39	0.0	0.0	1.0
ARRB2	0.0	0.0	1.0
DUSP16	0.0	1.0	0.0
PDGFR_beta	0.0	0.0	1.0
KIAA1549	0.0	0.0	1.0
FCGR3A	0.0	0.0	1.0
DUSP10	0.0	1.0	0.0
VWF	0.0	0.0	1.0
ITGA1	0.0	1.0	0.0
IGKV3D-20	0.0	0.0	1.0
KSR2	0.0	0.0	1.0
NGF	0.0	0.0	1.0
PKM	0.0	0.0	1.0
PAPD7	0.0	0.0	1.0
PIK3CA	0.0	0.0	1.0
ESRP1	0.0	0.0	1.0
IL3RA	0.0	0.0	1.0
LCP2	0.0	0.0	1.0
SOS1	0.0	0.0	1.0
MET	0.0	0.0	1.0
IGHV2-70	0.0	0.0	1.0
IGHV2-5	0.0	0.0	1.0
SRC	0.0	0.0	0.0
SEMA3A	0.0	1.0	0.0
IGHV3-48	0.0	0.0	1.0
IL2RG	0.0	0.0	1.0
CSK	0.0	0.0	1.0
FCGR1A	0.0	0.0	1.0
NTRK1	0.0	0.0	1.0
NTRK2	0.0	0.0	0.0
PTPN1	0.0	1.0	0.0
ANGPT2	0.0	0.0	1.0
IGHV3-53	0.0	0.0	1.0
NTRK3	0.0	0.0	1.0
MERTK	0.0	0.0	1.0
MTOR	0.0	0.0	1.0
FCGR2A	0.0	0.0	1.0
IL2RA	0.0	0.0	1.0
LEP	0.0	0.0	1.0
IL2RB	0.0	0.0	1.0
Brk	0.0	1.0	0.0
CD247	0.0	0.0	1.0
IL23R	0.0	0.0	1.0
IL27RA	0.0	0.0	1.0
IGLV2-8	0.0	0.0	1.0
PPP2R1B	0.0	1.0	0.0
PPP2R1A	0.0	1.0	0.0
TRIM24	0.0	0.0	1.0
KDR	0.0	1.0	0.0
IL12B	0.0	0.0	1.0
IL12A	0.0	0.0	1.0
B2M	0.0	0.0	1.0
EPHA5	0.0	1.0	0.0
EPHA4	0.0	0.0	0.0
EPHA6	0.0	1.0	0.0
HLA-E	0.0	0.0	1.0
IGKV2D-28	0.0	0.0	1.0
IL23A	0.0	0.0	1.0
CDC37	0.0	0.0	1.0
AKAP9	0.0	0.0	1.0
IGKV4-1	0.0	0.0	1.0
BTK	0.0	0.0	1.0
TLN1	0.0	0.0	1.0
CD101	0.0	1.0	0.0
MACF1	0.0	0.0	1.0
IGKV2D-30	0.0	0.0	1.0
TXK	0.0	0.0	1.0
SDC2	0.0	0.0	1.0
EBI3	0.0	0.0	1.0
PIK3R1	0.0	0.0	1.0
FXR1	0.0	0.0	1.0
CD79B	0.0	0.0	1.0
CD79A	0.0	0.0	1.0
YES1	0.0	0.0	1.0
IGKV2D-40	0.0	0.0	1.0
INSR	0.0	0.0	1.0
IGF2	0.0	0.0	0.0
PTK6	0.0	0.0	0.0
IGF1	0.0	0.0	0.0
NRP1	0.0	1.0	0.0
IGHM	0.0	0.0	1.0
CD40	0.0	0.0	1.0
SH3KBP1	0.0	0.0	1.0
IL27	0.0	0.0	1.0
CD3G	0.0	0.0	1.0
PRL	0.0	0.0	1.0
CD3E	0.0	0.0	1.0
CD3D	0.0	0.0	1.0
ZMYM2	0.0	0.0	1.0
CNTRL	0.0	0.0	1.0
FCER1A	0.0	0.0	1.0
HRAS	0.0	0.0	1.0
IL10	0.0	0.0	1.0
FCER1G	0.0	0.0	1.0
IL13	0.0	0.0	1.0
AGTRAP	0.0	0.0	1.0
AP3B1	0.0	0.0	1.0
TYK2	0.0	0.0	1.0
IL17RD	0.0	0.0	1.0
VAV1	0.0	0.0	1.0
CNKSR2	0.0	0.0	1.0
LAT2	0.0	0.0	1.0
CNKSR1	0.0	0.0	1.0
HCK	0.0	0.0	1.0
KIT	0.0	0.0	1.0
IGHD	0.0	0.0	1.0
IGHE	0.0	0.0	1.0
CXCR4	0.0	0.0	1.0
BCR/AB	0.0	0.0	1.0
TRAK1	0.0	0.0	1.0
PPP2CA	0.0	1.0	0.0
PPP2CB	0.0	1.0	0.0
IGKC	0.0	0.0	1.0
CUX1	0.0	0.0	1.0
LMNA	0.0	0.0	1.0
GAD1	0.0	0.0	1.0
IGKV1-5	0.0	0.0	1.0
VEGFA	0.0	1.0	0.0
FAK	0.0	1.0	0.0
KITLG	0.0	0.0	1.0
CD40LG	0.0	0.0	1.0
AXL	0.0	0.0	1.0
AGGF1	0.0	0.0	1.0
KLB	0.0	0.0	1.0
TRAC	0.0	0.0	1.0
IL6R	0.0	0.0	1.0
PDGFRB	0.0	0.0	1.0
PDGFRA	0.0	0.0	1.0
IL4R	0.0	0.0	1.0
LMO4	0.0	0.0	1.0
HGF	0.0	0.0	1.0
PRLR	0.0	0.0	1.0
TYROBP	0.0	0.0	1.0
RAF1	0.0	0.0	1.0
CSF2RB	0.0	0.0	1.0
EFNA5	0.0	0.0	0.0
CSF2RA	0.0	0.0	1.0
IGLV6-57	0.0	0.0	1.0
IGKV3-15	0.0	0.0	1.0
FGF20	0.0	0.0	1.0
STAP2	0.0	0.0	1.0
IGKV3-11	0.0	0.0	1.0
MARK3	0.0	0.0	1.0
FGF23	0.0	0.0	1.0
FGF22	0.0	0.0	1.0
CPSF6	0.0	0.0	1.0
KLRC2	0.0	0.0	1.0
IGLV7-43	0.0	0.0	1.0
IL2	0.0	0.0	1.0
IL4	0.0	0.0	1.0
GH2	0.0	0.0	1.0
FGF17	0.0	0.0	1.0
IL3	0.0	0.0	1.0
GH1	0.0	0.0	1.0
FGF16	0.0	0.0	1.0
EFNA3	0.0	0.0	1.0
FER	0.0	0.0	1.0
IL6	0.0	0.0	1.0
IL5	0.0	0.0	1.0
IL7	0.0	0.0	1.0
FGF19	0.0	0.0	1.0
FGF18	0.0	0.0	1.0
KLRD1	0.0	0.0	1.0
IL7R	0.0	0.0	1.0
FGFR4	0.0	0.0	1.0
FGFR3	0.0	0.0	1.0
IGKV3-20	0.0	0.0	1.0
FGFR2	0.0	0.0	1.0
FGFR1	0.0	0.0	0.0
FGF10	0.0	0.0	1.0
DYRK2	0.0	0.0	1.0
YWHAB	0.0	0.0	1.0
ILK	0.0	1.0	0.0
GHR	0.0	0.0	1.0
IGKV2-29	0.0	0.0	1.0
IGKV2-28	0.0	0.0	1.0
MYO18A	0.0	0.0	1.0
BLNK	0.0	0.0	1.0
IGLC3	0.0	0.0	1.0
IGLC1	0.0	0.0	1.0
LRRFIP1	0.0	0.0	1.0
FGB	0.0	0.0	1.0
FGA	0.0	0.0	1.0
FGG	0.0	0.0	1.0
PPP2R5D	0.0	1.0	0.0
TGFBR2	0.0	1.0	0.0
ZAP70	0.0	0.0	1.0
IFNG	0.0	0.0	1.0
MS4A2	0.0	0.0	1.0
IGKV2-30	0.0	0.0	1.0
KDM7A	0.0	0.0	1.0
IGLV3-1	0.0	0.0	1.0
INS	0.0	0.0	1.0
ERBB4	0.0	0.0	1.0
IGKV1-39	0.0	0.0	1.0
ERBB2	0.0	0.0	0.0
PTK2B	0.0	0.0	0.0
HES1	0.0	0.0	1.0
IGKV1-33	0.0	0.0	1.0
BUB1	0.0	1.0	0.0
IGLC7	0.0	0.0	1.0
IGKV5-2	0.0	0.0	1.0
IGLC6	0.0	0.0	1.0
CLCN6	0.0	0.0	1.0
WEE1	0.0	1.0	0.0
CD4	0.0	0.0	1.0
WEE2	0.0	1.0	0.0
TEC	0.0	0.0	1.0
FAM131B	0.0	0.0	1.0
KRAS	0.0	0.0	1.0
TEK	0.0	0.0	1.0
EGFR	2.8E-4	2.0E-5	1.0
LCK	3.0E-4	5.0E-5	1.0
EGF	9.4E-4	5.0E-5	1.0
FYN	0.00123	0.00914	0.12205
PTPN2	0.00502	1.0	0.00162
SYK	0.01327	0.00371	1.0
HSP90AA1	0.00716	0.40014	0.0101
PTK2	0.01753	0.39954	0.01319
EPHA3	0.01326	0.15583	0.06522
GRB2	0.01955	0.07254	0.24775
VRK3	0.04507	0.0238	1.0
KSR1	0.04507	0.0238	1.0
VCL	0.04507	0.0238	1.0
EPHA7	0.11452	1.0	0.0328
FGR	0.09279	0.04983	1.0
PLCG1	0.1128	0.08016	1.0
CBLB	0.21558	0.15577	1.0
CBL	0.21558	0.15577	1.0
IGF1R	0.3036	0.22391	1.0
DYRK1B	0.38418	0.28724	1.0
MAPK14	0.66591	0.53592	1.0
CDK5	0.77017	0.64058	1.0
MAPK3	0.87577	0.76767	1.0
GSK-3_alpha	1.0	1.0	1.0
AKT2	1.0	1.0	1.0
PRKACG	1.0	1.0	1.0
AKT3	1.0	1.0	1.0
AKT1	1.0	1.0	1.0
PRKACA	1.0	1.0	1.0
PRKACB	1.0	1.0	1.0
PRKCG	1.0	1.0	1.0
PRKCI	1.0	1.0	1.0
PRKCH	1.0	1.0	1.0
CSNK2A1	1.0	1.0	1.0
UNC5B	1.0	1.0	1.0
PRKCB	1.0	1.0	1.0
CSNK2A2	1.0	1.0	1.0
PRKD3	1.0	1.0	1.0
ORAI1	1.0	1.0	1.0
PRKCQ	1.0	1.0	1.0
PRKD1	1.0	1.0	1.0
PDK-1	1.0	1.0	1.0
ZNF274	1.0	1.0	1.0
PRKDC	1.0	1.0	1.0
PRKCZ	1.0	1.0	1.0
PPP3R1	1.0	1.0	1.0
NGFR	1.0	1.0	1.0
PLK3	1.0	1.0	1.0
FZD2	1.0	1.0	1.0
DMPK	1.0	1.0	1.0
PLK1	1.0	1.0	1.0
CDC7	1.0	1.0	1.0
PKA_group	1.0	1.0	1.0
SMPD3	1.0	1.0	1.0
SMPD2	1.0	1.0	1.0
MTG1	1.0	1.0	1.0
SMPD1	1.0	1.0	1.0
PBK	1.0	1.0	1.0
IKBKE	1.0	1.0	1.0
IFNGR1	1.0	1.0	1.0
PLCB3	1.0	1.0	1.0
PLCB1	1.0	1.0	1.0
PLCB2	1.0	1.0	1.0
CCL11	1.0	1.0	1.0
CK1	1.0	1.0	1.0
CK2	1.0	1.0	1.0
CK2_alpha	1.0	1.0	1.0
FLNA	1.0	1.0	1.0
CSNK1A1	1.0	1.0	1.0
HIPK2	1.0	1.0	1.0
CDKN3	1.0	1.0	1.0
PF4	1.0	1.0	1.0
IRS1	1.0	1.0	1.0
EPO	1.0	1.0	1.0
SLA	1.0	1.0	1.0
CXCL13	1.0	1.0	1.0
PIM1	1.0	1.0	1.0
PIM3	1.0	1.0	1.0
NEK2	1.0	1.0	1.0
PIM2	1.0	1.0	1.0
MAP3K6	1.0	1.0	1.0
MAP3K5	1.0	1.0	1.0
MAP2K4	1.0	1.0	1.0
DYRK1A	1.0	1.0	1.0
VRK1	1.0	1.0	1.0
TNNI3K	1.0	1.0	1.0
ROR2	1.0	1.0	1.0
CLEC4E	1.0	1.0	1.0
GSK-3_beta	1.0	1.0	1.0
SHC1	1.0	1.0	1.0
STK38	1.0	1.0	1.0
MAP2K7	1.0	1.0	1.0
MAP2K6	1.0	1.0	1.0
KIRREL	1.0	1.0	1.0
NEK4	1.0	1.0	1.0
TNK2	1.0	1.0	1.0
BMX	1.0	1.0	1.0
MOB1B	1.0	1.0	1.0
CDK9	1.0	1.0	1.0
CXCL10	1.0	1.0	1.0
MOB1A	1.0	1.0	1.0
CXCL11	1.0	1.0	1.0
CDK7	1.0	1.0	1.0
PTPRC	1.0	1.0	1.0
CDK6	1.0	1.0	1.0
CDK4	1.0	1.0	1.0
CLEC6A	1.0	1.0	1.0
CDK3	1.0	1.0	1.0
CDK1	1.0	1.0	1.0
MAP3K12	1.0	1.0	1.0
PIK3CD	1.0	1.0	1.0
MAPK_group	1.0	1.0	1.0
PIK3CB	1.0	1.0	1.0
CNGA1	1.0	1.0	1.0
NCK2	1.0	1.0	1.0
CNGA3	1.0	1.0	1.0
Aurora A	1.0	1.0	1.0
NCK1	1.0	1.0	1.0
TRPC6	1.0	1.0	1.0
TRPC3	1.0	1.0	1.0
NRG1	1.0	1.0	1.0
TRAF2	1.0	1.0	1.0
PKC_group	1.0	1.0	1.0
TRAF3	1.0	1.0	1.0
TRAF6	1.0	1.0	1.0
CNGB3	1.0	1.0	1.0
CNGB1	1.0	1.0	1.0
PRKAA1	1.0	1.0	1.0
ROCK1	1.0	1.0	1.0
NTN1	1.0	1.0	1.0
CDC42	1.0	1.0	1.0
SH3BP2	1.0	1.0	1.0
PTPN11	1.0	1.0	1.0
PTPN13	1.0	1.0	1.0
PTPN6	1.0	1.0	1.0
CCM2	1.0	1.0	1.0
APP	1.0	1.0	1.0
PKC_delta	1.0	1.0	1.0
RPS6KA3	1.0	1.0	1.0
EDNRB	1.0	1.0	1.0
JNK_group	1.0	1.0	1.0
RPS6KA2	1.0	1.0	1.0
RPS6KA1	1.0	1.0	1.0
CHEK1	1.0	1.0	1.0
PDK3	1.0	1.0	1.0
EPHB2	1.0	1.0	1.0
EPHB1	1.0	1.0	1.0
PDK2	1.0	1.0	1.0
PDK1	1.0	1.0	1.0
HLA-A	1.0	1.0	1.0
UHMK1	1.0	1.0	1.0
MAGED1	1.0	1.0	1.0
PIK3R3	1.0	1.0	1.0
PIK3R2	1.0	1.0	1.0
PKB_group	1.0	1.0	1.0
MLCK	1.0	1.0	1.0
TPX2	1.0	1.0	1.0
ATM	1.0	1.0	1.0
TDGF1	1.0	1.0	1.0
CD22	1.0	1.0	1.0
ATR	1.0	1.0	1.0
PPP3CC	1.0	1.0	1.0
RAC1	1.0	1.0	1.0
PRMT5	1.0	1.0	1.0
MAP4K2	1.0	1.0	1.0
EDN1	1.0	1.0	1.0
IL18	1.0	1.0	1.0
GFRA1	1.0	1.0	1.0
RHOA	1.0	1.0	1.0
FAM20C	1.0	1.0	1.0
SGK3	1.0	1.0	1.0
SGK1	1.0	1.0	1.0
Yes	1.0	1.0	1.0
GNAI3	1.0	1.0	1.0
GNAI1	1.0	1.0	1.0
CAMKK2	1.0	1.0	1.0
GNAI2	1.0	1.0	1.0
PAK1	1.0	1.0	1.0
GPC1	1.0	1.0	1.0
CXCR3	1.0	1.0	1.0
GPC3	1.0	1.0	1.0
PAK3	1.0	1.0	1.0
PAK2	1.0	1.0	1.0
PAK4	1.0	1.0	1.0
MAP3K2	1.0	1.0	1.0
MAP3K3	1.0	1.0	1.0
MAP3K1	1.0	1.0	1.0
SORT1	1.0	1.0	1.0
CK1_alpha	1.0	1.0	1.0
STK17A	1.0	1.0	1.0
CAMK4	1.0	1.0	1.0
GSK3-beta	1.0	1.0	1.0
CAMK1	1.0	1.0	1.0
IL18R1	1.0	1.0	1.0
CDK5R1	1.0	1.0	1.0
IL18RAP	1.0	1.0	1.0
CCND1	1.0	1.0	1.0
CK2_group	1.0	1.0	1.0
CASR	1.0	1.0	1.0
CDK_group	1.0	1.0	1.0
DSCAM	1.0	1.0	1.0
WNT5A	1.0	1.0	1.0
CD8B	1.0	1.0	1.0
CD8A	1.0	1.0	1.0
CCNE1	1.0	1.0	1.0
GNAZ	1.0	1.0	1.0
EFNB1	1.0	1.0	1.0
CCNB2	1.0	1.0	1.0
CCNB1	1.0	1.0	1.0
GRK5	1.0	1.0	1.0
RIPK1	1.0	1.0	1.0
FAK1	1.0	1.0	1.0
GNAO1	1.0	1.0	1.0
GDNF	1.0	1.0	1.0
TRPV6	1.0	1.0	1.0
GNAQ	1.0	1.0	1.0
RSK_group	1.0	1.0	1.0
GNB1	1.0	1.0	1.0
DYRK4	1.0	1.0	1.0
GSK3B	1.0	1.0	1.0
CXCL9	1.0	1.0	1.0
DYRK3	1.0	1.0	1.0
GSK3A	1.0	1.0	1.0
DCC	1.0	1.0	1.0
PDPK1	1.0	1.0	1.0
IRAK3	1.0	1.0	1.0
LATS1	1.0	1.0	1.0
CCNA2	1.0	1.0	1.0
CCNA1	1.0	1.0	1.0
LATS2	1.0	1.0	1.0
CAMK2B	1.0	1.0	1.0
RALA	1.0	1.0	1.0
CAMK2D	1.0	1.0	1.0
RALB	1.0	1.0	1.0
CAMK2A	1.0	1.0	1.0
AURKB	1.0	1.0	1.0
AURKA	1.0	1.0	1.0
GNA14	1.0	1.0	1.0
MAPK9	1.0	1.0	1.0
GNA15	1.0	1.0	1.0
MAPK8	1.0	1.0	1.0
MAPK7	1.0	1.0	1.0
GNG2	1.0	1.0	1.0
ERBB3	1.0	1.0	1.0
GNA11	1.0	1.0	1.0
S1PR1	1.0	1.0	1.0
MAPK1	1.0	1.0	1.0
S1PR2	1.0	1.0	1.0
MAPK15	1.0	1.0	1.0
MAPK12	1.0	1.0	1.0
EPOR	1.0	1.0	1.0
MAPK13	1.0	1.0	1.0
MAPK10	1.0	1.0	1.0
MAPK11	1.0	1.0	1.0
RPS6KB1	1.0	1.0	1.0
NPHS1	1.0	1.0	1.0
NPHS2	1.0	1.0	1.0
